"Flight.Type","Airline","Flight.No","AverageDepartureDelay","AverageArrivalDelay","TotalFlight"
"Domestic","AVIANCA BRASIL","ONE-6000",4.63,3.56,238
"Domestic","AVIANCA BRASIL","ONE-6001",5.25,6.11,232
"Domestic","AVIANCA BRASIL","ONE-6002",34.1,20.39,298
"Domestic","AVIANCA BRASIL","ONE-6003",-12.93,-11.12,279
"Domestic","AVIANCA BRASIL","ONE-6004",-102.54,-57.17,315
"Domestic","AVIANCA BRASIL","ONE-6005",-3.82,-10.09,647
"Domestic","AVIANCA BRASIL","ONE-6006",23.5,11.39,385
"Domestic","AVIANCA BRASIL","ONE-6007",-86.04,-49.95,349
"Domestic","AVIANCA BRASIL","ONE-6008",-60.38,-58.96,333
"Domestic","AVIANCA BRASIL","ONE-6009",-49.27,-46.03,373
"Domestic","AVIANCA BRASIL","ONE-6010",-86.46,-53.02,372
"Domestic","AVIANCA BRASIL","ONE-6011",35.69,26.11,350
"Domestic","AVIANCA BRASIL","ONE-6012",33.49,20.48,406
"Domestic","AVIANCA BRASIL","ONE-6013",-28.22,9.17,395
"Domestic","AVIANCA BRASIL","ONE-6014",52.18,57.17,454
"Domestic","AVIANCA BRASIL","ONE-6015",35.47,27.28,433
"Domestic","AVIANCA BRASIL","ONE-6016",35.59,21.03,409
"Domestic","AVIANCA BRASIL","ONE-6017",50.83,58.67,478
"Domestic","AVIANCA BRASIL","ONE-6018",18.7,16.56,63
"Domestic","AVIANCA BRASIL","ONE-6019",12.61,13.2,46
"Domestic","AVIANCA BRASIL","ONE-6020",6.59,6.67,61
"Domestic","AVIANCA BRASIL","ONE-6021",2.66,3.54,61
"Domestic","AVIANCA BRASIL","ONE-6022",8.05,11.33,64
"Domestic","AVIANCA BRASIL","ONE-6023",9.12,11.81,32
"Domestic","AVIANCA BRASIL","ONE-6024",16.51,9.01,640
"Domestic","AVIANCA BRASIL","ONE-6025",-24.63,7.42,441
"Domestic","AVIANCA BRASIL","ONE-6026",1.46,0.44,126
"Domestic","AVIANCA BRASIL","ONE-6027",0.88,1.36,121
"Domestic","AVIANCA BRASIL","ONE-6028",7.69,7.69,13
"Domestic","AVIANCA BRASIL","ONE-6029",5.71,6.71,14
"Domestic","AVIANCA BRASIL","ONE-6030",18.57,19.36,14
"Domestic","AVIANCA BRASIL","ONE-6031",9.38,9.31,13
"Domestic","AVIANCA BRASIL","ONE-6032",-4.75,-0.41,461
"Domestic","AVIANCA BRASIL","ONE-6033",-9.41,-8.4,388
"Domestic","AVIANCA BRASIL","ONE-6034",-5.5,-12.38,644
"Domestic","AVIANCA BRASIL","ONE-6035",16.86,8.25,634
"Domestic","AVIANCA BRASIL","ONE-6050",0,0,1
"Domestic","AVIANCA BRASIL","ONE-6051",0,0,1
"Domestic","AVIANCA BRASIL","ONE-6060",53.38,23.75,168
"Domestic","AVIANCA BRASIL","ONE-6061",20.09,23.19,183
"Domestic","AVIANCA BRASIL","ONE-6062",-86.33,-34.67,246
"Domestic","AVIANCA BRASIL","ONE-6063",-39.03,26.38,209
"Domestic","AVIANCA BRASIL","ONE-6064",-19.38,-17.36,269
"Domestic","AVIANCA BRASIL","ONE-6065",12.81,14.84,281
"Domestic","AVIANCA BRASIL","ONE-6067",20.43,17.02,56
"Domestic","AVIANCA BRASIL","ONE-6068",3.48,2.76,21
"Domestic","AVIANCA BRASIL","ONE-6070",6.92,6.8,553
