"Flight.Type","Airline","Flight.No","TotalFlight"
"Domestic","AVIANCA BRASIL","ONE - 6005",26
"Domestic","AVIANCA BRASIL","ONE - 6024",33
"Domestic","AVIANCA BRASIL","ONE - 6026",9
"Domestic","AVIANCA BRASIL","ONE - 6027",14
"Domestic","AVIANCA BRASIL","ONE - 6034",29
"Domestic","AVIANCA BRASIL","ONE - 6035",39
"Domestic","AVIANCA BRASIL","ONE - 6068",1
"Domestic","AVIANCA BRASIL","ONE - 6070",37
"Domestic","AVIANCA BRASIL","ONE - 6071",32
"Domestic","AVIANCA BRASIL","ONE - 6072",30
"Domestic","AVIANCA BRASIL","ONE - 6073",44
"Domestic","AVIANCA BRASIL","ONE - 6074",26
"Domestic","AVIANCA BRASIL","ONE - 6075",21
"Domestic","AVIANCA BRASIL","ONE - 6079",5
"Domestic","AVIANCA BRASIL","ONE - 6102",11
"Domestic","AVIANCA BRASIL","ONE - 6103",11
"Domestic","AVIANCA BRASIL","ONE - 6104",9
"Domestic","AVIANCA BRASIL","ONE - 6105",9
"Domestic","AVIANCA BRASIL","ONE - 6106",7
"Domestic","AVIANCA BRASIL","ONE - 6107",7
"Domestic","AVIANCA BRASIL","ONE - 6108",9
"Domestic","AVIANCA BRASIL","ONE - 6109",9
"Domestic","AVIANCA BRASIL","ONE - 6112",26
"Domestic","AVIANCA BRASIL","ONE - 6113",28
"Domestic","AVIANCA BRASIL","ONE - 6114",76
"Domestic","AVIANCA BRASIL","ONE - 6115",1
"Domestic","AVIANCA BRASIL","ONE - 6118",13
"Domestic","AVIANCA BRASIL","ONE - 6119",14
"Domestic","AVIANCA BRASIL","ONE - 6121",39
"Domestic","AVIANCA BRASIL","ONE - 6122",11
"Domestic","AVIANCA BRASIL","ONE - 6123",6
"Domestic","AVIANCA BRASIL","ONE - 6124",52
"Domestic","AVIANCA BRASIL","ONE - 6125",51
"Domestic","AVIANCA BRASIL","ONE - 6126",69
"Domestic","AVIANCA BRASIL","ONE - 6127",32
"Domestic","AVIANCA BRASIL","ONE - 6128",13
"Domestic","AVIANCA BRASIL","ONE - 6129",51
"Domestic","AVIANCA BRASIL","ONE - 6130",1
"Domestic","AVIANCA BRASIL","ONE - 6131",1
"Domestic","AVIANCA BRASIL","ONE - 6136",4
